Sitio ,Sustrato ,área (cm2)
1,saxicola ,15.2
1,saxicola ,15.2
1,saxicola ,13.2
1,saxicola ,8
1,saxicola ,9.1
1,saxicola ,9.6
1,saxicola ,5.3
1,saxicola ,5.7
1,saxicola ,6.6
1,saxicola ,21.2
1,saxicola ,9.1
1,saxicola ,12.6
1,saxicola ,6.6
1,saxicola ,11.3
1,saxicola ,12.6
1,saxicola ,7.1
1,saxicola ,11.9
1,saxicola ,8
1,saxicola ,12.6
1,saxicola ,8
1,saxicola ,7.1
1,saxicola ,16.6
1,saxicola ,17.3
1,saxicola ,9.6
1,saxicola ,15.9
1,saxicola ,7.1
1,saxicola ,13.9
1,saxicola ,21.2
1,saxicola ,7.5
1,saxicola ,8.6
1,saxicola ,15.2
1,saxicola ,18.1
1,saxicola ,9.6
1,saxicola ,5.7
1,saxicola ,12.6
1,corticicola,23.8
1,corticicola,11.9
1,corticicola,37.4
1,corticicola,28.3
1,corticicola,30.2
1,corticicola,18.1
1,corticicola,18.9
1,corticicola,9.1
1,corticicola,10.2
1,corticicola,18.9
1,corticicola,31.2
1,corticicola,15.2
1,corticicola,7.5
1,corticicola,18.1
1,corticicola,11.7
1,corticicola,12.6
1,corticicola,19.6
1,corticicola,14.5
1,corticicola,14.5
1,corticicola,15.9
1,corticicola,11.9
1,corticicola,18.1
1,corticicola,7.5
1,corticicola,10.2
1,corticicola,21.2
1,corticicola,7.5
1,corticicola,8
1,corticicola,9.1
1,corticicola,18.1
1,corticicola,18.1
1,corticicola,13.9
1,corticicola,13.2
1,corticicola,9.1
1,corticicola,11.9
1,corticicola,18.9
2,saxicola ,15.2
2,saxicola ,12.6
2,saxicola ,18.1
2,saxicola ,13.2
2,saxicola ,11.3
2,saxicola ,10.8
2,saxicola ,12.6
2,saxicola ,9.6
2,saxicola ,11.9
2,saxicola ,6.6
2,saxicola ,11.9
2,saxicola ,7.1
2,saxicola ,13.2
2,saxicola ,10.2
2,saxicola ,9.6
2,saxicola ,11.9
2,saxicola ,10.8
2,saxicola ,8.6
2,saxicola ,9.1
2,saxicola ,10.2
2,saxicola ,9.6
2,saxicola ,7.1
2,saxicola ,7.1
2,saxicola ,6.6
2,saxicola ,7.5
2,saxicola ,8
2,saxicola ,7.5
2,saxicola ,7.1
2,saxicola ,11.9
2,saxicola ,12.6
2,saxicola ,8.6
2,saxicola ,5.3
2,saxicola ,7.5
2,saxicola ,4.9
2,saxicola ,6.6
2,corticicola,17.3
2,corticicola,19.6
2,corticicola,21.2
2,corticicola,12.6
2,corticicola,9.6
2,corticicola,15.9
2,corticicola,7.1
2,corticicola,20.4
2,corticicola,13.2
2,corticicola,12.6
2,corticicola,13.9
2,corticicola,15.9
2,corticicola,12.6
2,corticicola,15.2
2,corticicola,18.9
2,corticicola,10.8
2,corticicola,14.5
2,corticicola,9.6
2,corticicola,22.1
2,corticicola,20.4
2,corticicola,22.1
2,corticicola,13.9
2,corticicola,21.2
2,corticicola,11.3
2,corticicola,20.4
2,corticicola,13.9
2,corticicola,15.9
2,corticicola,17.3
2,corticicola,12.6
2,corticicola,25.5
2,corticicola,12.6
2,corticicola,14.5
2,corticicola,15.9
2,corticicola,9.6
2,corticicola,11.9
